,path,sentence,mfcc
10,common_voice_id_19192563.mp3,Gajah Afrika memiliki telinga lebih besar dibandingkan gajah Asia.,"[[-7.04455577e+01 -5.51692132e-08 -3.86227777e-09 ... -1.44110806e-09
  -1.26684182e-08  6.43336476e-09]
 [-7.04426502e+01 -2.62348281e-05  1.47061996e-04 ...  4.45836910e-05
  -1.76246989e-04 -1.96522614e-04]
 [-6.99846757e+01  6.33964407e-02  3.80297341e-02 ...  3.70578492e-02
   3.42112051e-02 -8.02166548e-03]
 ...
 [-5.78932249e+01  1.95472914e+00  7.17319234e-01 ... -7.24336455e-01
  -1.80965563e-01 -2.43772836e-01]
 [-5.89932275e+01  1.86575811e+00  8.10160429e-01 ... -2.32207006e-01
  -6.03626593e-02 -3.33621032e-01]
 [-6.68457832e+01  1.07161439e+00  6.03893656e-01 ... -4.45495334e-01
  -4.61258222e-02 -8.26019358e-02]]"
11,common_voice_id_19192564.mp3,Dia sengaja menginjak kaki saya di kereta.,"[[-7.04455561e+01 -1.16400978e-07  1.38032955e-07 ... -2.06305433e-07
  -3.42740569e-07 -1.19914533e-08]
 [-7.04351960e+01  6.41615400e-04  6.17737172e-04 ... -1.79737493e-04
  -7.58227002e-04 -8.63791522e-04]
 [-6.42975668e+01  3.00381036e+00  1.56612060e+00 ...  1.01630103e-03
   7.00909385e-02  1.65234708e-02]
 ...
 [-5.87286209e+01  2.10904405e+00  6.64695550e-01 ... -5.06018024e-01
  -2.36211176e-01 -2.51268106e-01]
 [-6.81021640e+01  4.42111130e-01 -3.80122217e-02 ... -1.14421039e-01
   2.82382775e-01  3.52897658e-02]
 [-7.03696401e+01  1.27752469e-02  1.43325213e-02 ... -5.56179739e-03
   1.63633801e-03  4.29923015e-03]]"
12,common_voice_id_19192575.mp3,Asalkan beberapa orang memahamiku.,"[[-7.04455579e+01 -2.30486537e-12  1.85749575e-12 ... -3.01849086e-13
  -2.59228513e-13 -2.08871546e-12]
 [-7.04455566e+01 -6.36322241e-08 -6.96791528e-09 ...  3.76708373e-08
  -3.59000359e-08 -7.22111549e-08]
 [-6.67111569e+01  1.17856726e+00  4.86481348e-01 ... -3.62341255e-01
   2.32776677e-01  4.31546287e-02]
 ...
 [-5.86131344e+01  1.30298310e+00  5.51603158e-02 ... -3.94180703e-01
  -5.89730749e-01 -1.72909123e-01]
 [-5.95708640e+01  1.07053725e+00  1.75529111e-01 ... -6.58264221e-01
  -6.25019503e-01 -6.95036094e-01]
 [-6.66825080e+01  7.80054871e-01  5.29194001e-02 ... -3.37316102e-02
  -2.61899111e-01 -3.29711946e-01]]"
13,common_voice_id_19192577.mp3,Tidak ada yang mengerti aku.,"[[-7.04455574e+01 -8.16386213e-08 -6.05293000e-08 ... -9.75515401e-09
   6.87059118e-09  5.95280701e-09]
 [-7.04418827e+01 -6.78443144e-04 -1.99996832e-04 ...  9.68397753e-05
   2.08019084e-04 -6.72981409e-05]
 [-6.97904883e+01  3.64181503e-02 -5.89458357e-02 ... -3.36315384e-02
   1.72861831e-03  9.05008912e-02]
 ...
 [-5.92914337e+01  2.27998748e+00  2.60305595e-01 ... -4.33159638e-01
   1.01826258e-02  5.09648723e-01]
 [-5.84850730e+01  2.31526757e+00 -1.79324451e-02 ... -1.10856726e+00
  -2.88545300e-01  4.88756322e-01]
 [-6.40176819e+01  1.61687297e+00 -1.23483446e-01 ... -9.15592576e-01
  -5.73546688e-02  3.64972469e-01]]"
14,common_voice_id_19192586.mp3,Intinya adalah ibu terlalu sibuk.,"[[-7.04455559e+01 -2.17495934e-07 -2.55129350e-07 ... -5.14757009e-08
  -1.69497890e-07 -8.29556368e-08]
 [-7.04348332e+01  6.04325650e-04  1.21977487e-03 ... -5.99404616e-04
  -1.46761080e-03 -1.22721769e-04]
 [-6.82541133e+01  8.31394039e-01  4.78381143e-01 ... -1.56267009e-01
  -1.05551589e-01  3.20527363e-02]
 ...
 [-5.61668951e+01  1.96872238e+00  7.35563391e-01 ... -1.68652771e-01
  -4.44072646e-01 -5.61414221e-01]
 [-5.64126051e+01  1.38689002e+00  2.86504855e-01 ... -3.78701137e-01
  -5.02086751e-01 -1.11484452e+00]
 [-6.05475505e+01  1.52370685e+00  5.06323861e-01 ... -2.97326581e-01
  -3.33022827e-01 -4.94451092e-01]]"
15,common_voice_id_19192588.mp3,Rumah saya terletak di sebuah bukit.,"[[-7.04455569e+01 -2.57985840e-07  4.69691123e-08 ... -9.41731343e-08
   2.11614143e-08 -4.19693234e-08]
 [-7.04288388e+01 -3.53347146e-03  3.28937409e-03 ...  1.27938208e-04
   1.26554416e-03 -1.02520667e-03]
 [-6.85844864e+01  2.49742763e-01  4.56197384e-01 ... -2.01373009e-01
  -9.74146267e-02 -1.48452184e-01]
 ...
 [-5.51429769e+01  2.47603324e+00  4.11543333e-01 ... -5.49628312e-01
   2.81839840e-01  2.13722343e-01]
 [-5.71896029e+01  2.34074446e+00  7.93450182e-01 ... -3.21537780e-01
  -5.04722950e-01 -6.57286438e-01]
 [-6.91819565e+01  3.61562484e-01  1.17367364e-01 ... -6.77229474e-02
  -1.72615148e-01 -1.96820832e-01]]"
16,common_voice_id_19192614.mp3,Apa saya masih mampu melakukannya?,"[[-7.04455579e+01 -5.77762333e-12 -1.03429911e-12 ... -5.59086381e-13
   4.49267383e-13 -2.15147301e-12]
 [-7.04455567e+01  3.99124850e-07 -1.61986512e-08 ... -1.47392387e-07
  -9.91032714e-08  5.43452346e-08]
 [-6.68368575e+01  1.25619188e+00  1.99650838e-01 ... -2.21538319e-01
  -1.84552344e-01 -1.44303239e-01]
 ...
 [-5.68206050e+01  2.15109617e+00  7.35315412e-01 ...  2.72607742e-01
   7.90720356e-01 -3.30141665e-01]
 [-6.49453716e+01  1.57680949e+00  3.44149398e-01 ...  1.08834021e-01
   2.92624217e-01 -1.33671754e-01]
 [-7.04046811e+01  6.90701974e-03 -5.68868782e-04 ...  2.29044489e-03
   1.88534016e-03  4.64708721e-05]]"
17,common_voice_id_19192616.mp3,Pak Tanaka sudah menikah dan punya anak.,"[[-7.04455567e+01  4.85177341e-08 -1.36785974e-07 ...  2.07421859e-08
  -3.47460265e-08  2.40999498e-09]
 [-7.04425582e+01  1.89889477e-04  2.25635053e-04 ...  2.62499665e-04
  -8.98430673e-05 -7.43474191e-05]
 [-6.97368045e+01  2.25356979e-01  1.00822903e-01 ... -2.64585440e-03
  -3.33988505e-02 -7.51515154e-02]
 ...
 [-6.03041886e+01  1.64521869e+00 -1.75469899e-01 ... -5.71352172e-02
  -3.00219007e-01 -2.81025703e-01]
 [-6.60968587e+01  8.32169168e-01 -5.22512649e-01 ... -4.87024365e-02
   2.22150610e-01  1.96806475e-02]
 [-7.04213310e+01 -3.74204555e-03 -4.32446735e-03 ... -1.64115614e-03
   8.88847663e-04 -7.04689013e-04]]"
18,common_voice_id_19192617.mp3,Tokyo lebih ramai dibandingkan Beijing.,"[[-7.04455556e+01 -3.13344569e-07 -6.14287931e-07 ... -1.94850664e-07
  -2.48120812e-07  2.62769022e-07]
 [-7.04393150e+01 -2.75369089e-04 -2.63733435e-05 ... -9.21355330e-06
  -7.75699324e-04  9.92815487e-06]
 [-6.85469849e+01  6.83028781e-01  1.90095802e-01 ... -2.80627642e-02
  -1.06972383e-01 -6.92746281e-02]
 ...
 [-5.87671736e+01  2.65647646e+00  7.06193510e-01 ... -2.86896880e-01
  -5.44068376e-01 -8.07221513e-01]
 [-6.87411914e+01  6.22536353e-01  1.90197448e-01 ...  3.17990693e-02
  -6.02095828e-02 -1.62463649e-01]
 [-7.04359140e+01 -1.64913540e-03  8.15157168e-04 ... -3.03733178e-05
  -3.21463907e-04  3.03699592e-05]]"
19,common_voice_id_19192619.mp3,Saya menyusun mangkuk dan sumpit di atas meja.,"[[-7.04455566e+01  4.38146970e-08 -1.57773514e-07 ...  9.27814459e-08
  -1.24622902e-07  7.64732365e-08]
 [-7.04307440e+01 -1.01412676e-03  1.20995327e-03 ...  2.69730529e-03
   3.94519259e-04  1.14111966e-03]
 [-6.66731222e+01  1.16451670e+00 -7.39316978e-03 ...  2.14394728e-01
   7.46841553e-02 -1.27743121e-01]
 ...
 [-5.71281560e+01  1.98142671e+00 -5.11964515e-01 ... -3.89818679e-01
  -4.79727239e-01 -8.06834441e-01]
 [-6.68877071e+01  8.98876071e-01 -2.54369153e-01 ... -1.68340692e-01
  -4.60776514e-01 -3.63744609e-01]
 [-7.02588954e+01  4.92678877e-02 -1.41109380e-03 ... -6.20180164e-03
  -3.12919961e-02 -5.68935318e-02]]"
20,common_voice_id_19192625.mp3,Tom terlihat bersimpati.,"[[-7.04455573e+01 -1.29083306e-07 -3.44156604e-08 ... -1.01169198e-07
  -2.12777519e-09 -2.63047413e-08]
 [-7.04390331e+01 -6.10073873e-04 -1.39684919e-03 ... -1.20291536e-03
  -6.68104527e-05 -5.79624244e-05]
 [-6.92100973e+01  2.62790120e-01 -7.55759189e-02 ... -1.25779805e-01
   1.87704183e-02  1.35713063e-02]
 ...
 [-6.08721123e+01  2.08515177e+00  3.98260902e-01 ... -1.36183712e-01
  -2.42425782e-01 -6.38152519e-01]
 [-6.55676604e+01  1.58565100e+00  4.55377861e-01 ... -8.95780918e-02
  -1.80860756e-01 -4.78280290e-01]
 [-7.04139129e+01  1.78943734e-03  1.88034705e-03 ... -3.30990381e-03
  -2.83376970e-03  2.38858445e-04]]"
21,common_voice_id_19192627.mp3,Saya ingin membayar.,"[[-7.04455546e+01  2.49169003e-07 -1.85330008e-07 ...  5.19932328e-08
   1.69518988e-07  3.61937595e-07]
 [-7.04325248e+01  6.41311425e-04 -9.02935891e-05 ... -1.21915939e-04
   1.54471778e-04 -6.03174989e-04]
 [-6.71643679e+01  9.25551061e-01 -5.74892075e-02 ...  1.53728362e-01
   2.46082667e-01  7.67917469e-02]
 ...
 [-5.46065302e+01  2.54649030e+00  3.07256213e-01 ... -4.79625520e-01
  -2.29787086e-01 -9.64979054e-01]
 [-5.65239279e+01  2.35040370e+00  4.25095883e-01 ... -7.41047222e-03
  -1.92587267e-01  1.72431655e-01]
 [-6.52836045e+01  1.11646784e+00 -6.27362443e-02 ...  3.12525530e-01
   1.19879758e-01  2.75119490e-01]]"
22,common_voice_id_19192628.mp3,"Setelah selesai dipakai, Komputer harap dimatikan.","[[-7.04455576e+01 -8.88081467e-08  1.52319240e-08 ...  2.16765380e-08
  -1.99224576e-08  1.46949032e-08]
 [-7.04438859e+01 -1.94763392e-04  1.26221134e-04 ... -1.80284990e-04
  -1.24149137e-04 -1.15942809e-04]
 [-6.97115996e+01  2.69830929e-01  8.75101066e-02 ... -7.84044192e-02
  -9.74074126e-03  5.65187220e-02]
 ...
 [-5.92728920e+01  1.07853879e+00 -2.22392377e-01 ... -4.03111609e-01
  -2.78035864e-01 -7.65248237e-03]
 [-6.01780737e+01  1.41810435e+00 -4.46189828e-01 ... -8.72801666e-01
  -9.28354862e-01 -9.22146910e-01]
 [-6.68822256e+01  9.22102990e-01  4.68304816e-02 ... -8.77149887e-02
  -3.84938397e-02 -1.37666051e-01]]"
23,common_voice_id_19192637.mp3,Dia tinggal di hutan seorang diri.,"[[-7.04455572e+01 -2.41697589e-07  1.04834131e-07 ... -1.24818553e-07
   7.58205574e-08 -4.25903474e-08]
 [-7.04396217e+01 -1.18647211e-04  1.89903665e-04 ...  1.32615887e-04
   7.79420076e-05  2.59714881e-04]
 [-6.96085018e+01  5.73554206e-02 -1.48373025e-02 ...  2.43377517e-02
  -2.41827342e-02 -2.73765894e-02]
 ...
 [-5.83289306e+01  1.64404321e+00 -5.67194550e-01 ... -1.52143140e-01
   1.13617854e-01 -1.98663931e-01]
 [-5.79862697e+01  1.24924235e+00 -4.09001746e-01 ... -5.66598940e-01
  -2.64963793e-01 -1.88864546e-01]
 [-6.31135783e+01  1.33942751e+00 -2.95819749e-02 ... -3.77251976e-01
  -5.11333406e-01 -1.15523715e-01]]"
24,common_voice_id_19192639.mp3,Apakah kamu gila?,"[[-7.04455549e+01 -6.78439650e-07 -5.83073536e-07 ...  1.75359589e-07
  -3.51616672e-07  3.03261396e-07]
 [-7.04414364e+01 -4.11548762e-04 -2.55216215e-05 ...  4.45748628e-04
  -5.35433174e-04 -2.66237506e-04]
 [-6.96049595e+01  2.03837099e-01  9.13109287e-02 ... -1.02021039e-01
  -1.28616847e-01 -6.87587158e-04]
 ...
 [-5.74271539e+01  2.19639783e+00 -1.87047323e-01 ... -1.26953868e+00
  -6.36605214e-01 -1.03315234e-01]
 [-5.88512874e+01  1.36564100e+00 -7.41459057e-01 ... -1.01428198e+00
  -6.22684358e-01 -2.39021475e-01]
 [-6.53521455e+01  9.17379700e-01 -5.46834145e-01 ... -5.11492958e-01
   1.78252402e-01  4.77294867e-01]]"
25,common_voice_id_19192651.mp3,Hati-hati jangan salah jalan pada jalur satu arah.,"[[-7.04455579e+01 -2.97508227e-12  1.95932212e-12 ... -4.76147353e-13
  -1.02009423e-12  3.98010413e-14]
 [-7.04455575e+01  1.84632470e-07  1.52644340e-07 ...  6.40826822e-08
   2.18271122e-08  5.55777534e-08]
 [-6.82996957e+01  8.69216457e-01  2.72192819e-01 ... -3.99082724e-02
   7.15837159e-02 -7.87849280e-02]
 ...
 [-4.93924820e+01  3.70758150e+00  5.81514122e-01 ... -9.45889232e-01
  -6.15538442e-01 -9.23477205e-01]
 [-5.14476245e+01  3.38197982e+00  1.21395029e+00 ... -8.79731198e-01
  -8.63378430e-01 -3.01528000e-01]
 [-5.67898759e+01  3.01719421e+00  3.82795341e-01 ... -2.65266958e-01
  -6.55876571e-01 -7.04244260e-01]]"
26,common_voice_id_19192660.mp3,mikrofon itu rusak,"[[-7.04455579e+01  1.54474662e-12  6.65288451e-13 ... -1.60317159e-13
  -5.89255276e-13 -2.69695547e-12]
 [-7.04455576e+01  7.15727701e-08  2.87517489e-08 ... -2.64961460e-08
  -2.03882396e-08  3.09737762e-08]
 [-6.91656412e+01  5.20011834e-01  2.75557261e-01 ... -1.79789847e-01
  -1.39229641e-01 -5.45793345e-02]
 ...
 [-6.01344219e+01  1.16175302e+00  2.49858575e-01 ... -1.06901539e+00
  -8.62471822e-01 -7.07870554e-01]
 [-6.05118672e+01  6.87174690e-01 -3.15848574e-01 ... -1.27726906e+00
  -9.03557827e-01 -4.80568834e-01]
 [-6.10133193e+01  1.68231141e+00 -1.67684472e-01 ... -2.29986492e-01
  -1.29205853e-01 -1.41908492e-02]]"
27,common_voice_id_19192661.mp3,Pak guru menyerahkan salinan koran kepada muridnya.,"[[-7.04455576e+01 -7.92159816e-08 -9.01376933e-09 ... -3.04807420e-08
  -2.50122474e-08  2.30996478e-08]
 [-7.04440825e+01 -3.29208921e-04  6.81029199e-05 ... -9.24391923e-05
   1.19919913e-04  1.23015213e-05]
 [-7.00428147e+01  1.32896894e-01  1.10305048e-01 ...  2.85857563e-03
   1.21054259e-02 -3.82560247e-03]
 ...
 [-5.50302273e+01  2.90391174e+00  6.58652912e-01 ... -5.76873336e-01
  -1.01691584e-01 -6.08107672e-01]
 [-6.06081571e+01  2.30497836e+00  7.04759398e-01 ... -3.99993656e-01
   4.04471287e-02  1.25963675e-01]
 [-6.94104320e+01  3.87274851e-01  1.32449698e-01 ...  8.32517680e-03
   5.08694438e-02  5.24167898e-02]]"
28,common_voice_id_19192663.mp3,Dia suka bermain tenis.,"[[-7.04455576e+01  1.21079743e-08 -3.46408124e-08 ... -3.57643426e-08
  -3.67069036e-08 -3.82628180e-08]
 [-7.04403367e+01  1.05128574e-04 -4.25832662e-05 ... -2.00595361e-04
   7.97152368e-05 -2.26692917e-05]
 [-6.86512256e+01  6.56104920e-01  5.80859955e-02 ...  1.88869765e-01
   1.61317728e-01 -3.18274846e-02]
 ...
 [-5.82030954e+01  2.21205738e+00  4.14689297e-01 ... -8.50978906e-01
  -4.73290463e-01 -3.05256516e-01]
 [-5.76908409e+01  2.30605041e+00  3.86888916e-01 ... -7.18062198e-02
  -1.51237245e-01  1.74015201e-01]
 [-5.98022937e+01  1.62793860e+00  5.41122718e-01 ... -8.22606718e-01
   3.29445517e-01  1.86112672e-01]]"
29,common_voice_id_19192664.mp3,Bob terkenal di sekolah.,"[[-7.04455574e+01 -9.51395074e-08 -2.91622360e-08 ... -1.24362523e-08
   3.05037057e-08 -7.78239183e-08]
 [-7.04426058e+01 -2.49665639e-04  5.48584388e-04 ... -2.02482579e-04
  -3.07780460e-04 -3.53657972e-04]
 [-6.96344388e+01  1.40987747e-01 -6.16344171e-02 ... -3.39383681e-03
  -5.63695096e-02 -1.13988865e-01]
 ...
 [-6.12629504e+01  8.97605571e-01  3.21643102e-01 ... -2.07455972e-01
   1.67119636e-01  7.09531690e-02]
 [-5.97150093e+01  9.83018762e-01  3.44712167e-01 ... -3.27716101e-01
  -1.38428166e-01 -1.34670978e-01]
 [-5.94468650e+01  2.92268985e+00  6.98486812e-01 ... -4.40283961e-01
  -2.57421643e-01 -1.39902616e-01]]"
30,common_voice_id_19192671.mp3,Trafo tersebut rusak dikarenakan meledak.,"[[-7.04455579e+01 -6.81927115e-09 -1.36900082e-09 ...  6.57425447e-09
  -2.22534172e-09 -2.43772624e-09]
 [-7.04443255e+01 -5.90239668e-04  1.21733873e-04 ... -1.06098430e-04
  -1.54858047e-04  2.67891796e-04]
 [-4.53979150e+01 -4.98797911e+00  1.04828478e-01 ... -2.10081842e-01
  -5.03417261e-01  4.14028918e-01]
 ...
 [-5.98880137e+01  1.40955029e+00 -5.11509550e-01 ...  6.52714349e-02
  -2.38514994e-01 -4.81148322e-01]
 [-6.26879611e+01  1.33891078e+00 -5.03005813e-01 ... -1.95051566e-01
  -3.82264162e-01 -4.64598143e-01]
 [-6.95356699e+01  6.15933286e-02 -1.17340462e-01 ... -4.06717624e-02
   2.15481718e-03 -2.93970756e-03]]"
31,common_voice_id_19192672.mp3,Pengetahuan tentang komputer adalah dasar daripada segala ilmu pengetahuan.,"[[-7.04455574e+01  8.14995396e-08  2.36639454e-08 ... -3.65747279e-09
  -1.89589562e-08 -4.00425186e-08]
 [-7.04436751e+01 -6.92992464e-05 -5.63092787e-06 ...  4.47900451e-05
   1.66342094e-04 -8.14727970e-05]
 [-6.95422632e+01  3.84395716e-01  2.49666519e-01 ... -9.46505966e-02
  -2.85215658e-02 -6.83443892e-02]
 ...
 [-6.05248541e+01  9.68191298e-01 -4.37593331e-01 ... -7.40086278e-01
  -4.71668006e-01 -3.53979738e-01]
 [-6.23561341e+01  1.83987329e+00  2.25955714e-01 ... -4.53522308e-01
  -1.12408873e-01 -1.98070274e-01]
 [-7.01511458e+01  2.61100496e-02  6.06411026e-03 ... -3.53992862e-02
  -4.89881931e-04 -1.26827614e-02]]"
